,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Price,39.5994,-110.8107,42.8,42,90,9.22
1,Tasiilaq,65.6145,-37.6368,30.2,86,75,33.38
2,Puerto Ayora,-0.7393,-90.3518,80.85,78,40,3.44
3,Bethel,41.3712,-73.414,49.17,96,100,1.99
4,Hilo,19.7297,-155.09,56.39,88,90,6.91
5,Qaanaaq,77.484,-69.3632,-1.25,74,75,4.5
6,Hasaki,35.7333,140.8333,45.75,76,75,4.61
7,Yellowknife,62.456,-114.3525,27.5,74,20,9.22
8,Clyde River,70.4692,-68.5914,3.2,72,20,18.41
9,Jasper,37.2001,-94.3502,50.5,53,1,8.05
10,Hermanus,-34.4187,19.2345,68.0,75,100,7.0
11,Ushuaia,-54.8,-68.3,48.2,57,20,5.75
12,Salalah,17.0151,54.0924,82.4,74,0,9.22
13,Cape Town,-33.9258,18.4232,70.29,57,0,20.71
14,São Filipe,14.8961,-24.4956,74.01,72,1,11.14
15,Banepā,27.6298,85.5214,66.2,48,75,29.93
16,Cidreira,-30.1811,-50.2056,75.13,60,77,15.52
17,Kirakira,-10.4544,161.9205,79.16,86,28,3.8
18,Benito Juarez,19.385,-99.165,68.0,42,75,3.44
19,Seoul,37.5683,126.9778,46.44,81,100,2.3
20,Qasigiannguit,68.8193,-51.1922,14.0,62,75,8.05
21,Port Alfred,-33.5906,26.891,69.85,66,100,25.26
22,Albany,42.6001,-73.9662,53.02,68,100,1.99
23,Mar del Plata,-38.0023,-57.5575,69.8,73,0,9.22
24,Toamasina,-18.1667,49.3833,78.8,89,75,3.44
25,George Town,5.4112,100.3354,82.2,83,20,3.87
26,Rikitea,-23.1203,-134.9692,77.5,75,85,7.96
27,Tiksi,71.6872,128.8694,-3.53,100,86,2.57
28,Butaritari,3.0707,172.7902,81.95,76,100,9.37
29,Nikolskoye,59.7035,30.7861,42.55,33,0,13.42
30,Farafangana,-22.8167,47.8333,76.86,83,3,7.2
31,Pevek,69.7008,170.3133,15.78,83,100,21.83
32,Kabo,7.6994,18.629,100.17,14,36,5.64
33,Great Falls,47.5002,-111.3008,31.73,100,90,4.61
34,Chumikan,54.7183,135.315,20.55,76,9,12.93
35,Dunedin,-45.8742,170.5036,52.9,94,100,1.01
36,Upernavik,72.7868,-56.1549,-5.75,87,99,2.51
37,Chui,-33.6971,-53.4616,67.86,89,100,5.08
38,Mataura,-46.1927,168.8643,51.01,93,99,1.01
39,Saint-Philippe,-21.3585,55.7679,72.21,83,100,6.91
40,Yalta,44.5,34.1667,50.0,61,38,9.44
41,Sivas Province,39.7916,37.0019,55.4,35,40,13.8
42,Busselton,-33.65,115.3333,57.0,95,35,10.63
43,Punta Arenas,-53.15,-70.9167,48.09,76,40,10.36
44,Kapaa,22.0752,-159.319,66.29,68,75,9.22
45,New Norfolk,-42.7826,147.0587,42.55,85,68,5.53
46,Hobart,-42.8794,147.3294,44.87,70,48,8.05
47,La Tuque,47.4334,-72.7824,59.0,29,77,4.61
48,Samut Songkhram,13.4,99.9583,88.0,76,100,6.29
49,Dikson,73.5069,80.5464,-11.38,95,100,16.98
50,Mahébourg,-20.4081,57.7,77.0,88,75,3.44
51,Katsuura,35.1333,140.3,51.33,66,40,6.91
52,Pochutla,15.7432,-96.4661,85.84,39,75,6.55
53,Puerto Baquerizo Moreno,-0.9,-89.6,78.8,89,75,4.61
54,Iquique,-20.2208,-70.1431,68.0,64,75,6.91
55,Nanortalik,60.1432,-45.2371,28.42,71,49,30.47
56,Praia da Vitória,38.7333,-27.0667,69.64,60,40,7.7
57,Provideniya,64.3833,-173.3,8.56,96,74,4.54
58,Severo-Kuril'sk,50.6789,156.125,30.22,82,100,17.74
59,Saskylakh,71.9167,114.0833,-13.52,100,63,5.26
60,Kathmandu,27.7167,85.3167,66.2,48,75,29.93
61,Malayal,7.208,121.942,78.8,89,75,6.26
62,Andenes,69.3143,16.1194,41.38,81,75,18.41
63,Barrow,71.2906,-156.7887,8.6,78,90,5.75
64,Port Elizabeth,-33.918,25.5701,62.6,94,90,11.5
65,Mikhaylov,54.2292,39.0186,61.47,50,100,6.02
66,Toora-Khem,52.4675,96.11,24.06,94,20,1.14
67,Antofagasta,-23.65,-70.4,67.77,68,90,5.75
68,Walvis Bay,-22.9575,14.5053,87.15,30,18,11.45
69,Kanniyākumāri,8.0833,77.5667,83.89,73,79,11.45
70,Vardø,70.3705,31.1107,30.2,69,0,6.91
71,Pringsewu,-5.3582,104.9744,73.74,96,100,3.13
72,Grand Gaube,-20.0064,57.6608,81.0,79,100,5.01
73,Padang,-0.9492,100.3543,78.26,86,100,3.2
74,Vaini,-21.2,-175.2,75.2,88,40,5.75
75,Calvinia,-31.4707,19.776,83.77,17,85,14.61
76,São Félix do Xingu,-6.6447,-51.995,81.07,88,98,1.95
77,Lebu,-37.6167,-73.65,60.28,78,7,11.79
78,Ahipara,-35.1667,173.1667,62.85,89,76,8.34
79,San Patricio,28.017,-97.5169,72.77,100,90,13.8
80,Poum,-20.2333,164.0167,78.91,83,49,8.72
81,Jamestown,42.097,-79.2353,39.74,75,90,11.5
82,Codrington,-38.2667,141.9667,54.81,59,58,10.54
83,Bathsheba,13.2167,-59.5167,86.0,58,75,18.41
84,Mount Isa,-20.7333,139.5,80.6,28,6,14.97
85,Saint George,37.1041,-113.5841,55.74,40,1,4.61
86,Northam,51.0333,-4.2167,50.99,57,14,1.99
87,Bluff,-46.6,168.3333,51.01,93,100,1.01
88,Victor Harbor,-35.5667,138.6167,60.01,81,20,5.84
89,Fuyu,45.1833,124.8167,51.08,27,62,21.21
90,Cabo San Lucas,22.8909,-109.9124,75.56,40,20,9.31
91,Lagoa,39.05,-27.9833,62.22,82,88,6.46
92,Lufilufi,-13.8745,-171.5986,73.4,100,20,4.61
93,Lázaro Cárdenas,17.9583,-102.2,83.1,43,1,3.91
94,Alihe,50.5667,123.7167,31.55,68,100,5.37
95,Bredasdorp,-34.5322,20.0403,68.0,64,100,13.8
96,Brae,60.3964,-1.353,48.2,66,0,8.05
97,Mayor Pablo Lagerenza,-19.9309,-60.7718,94.6,29,25,7.02
98,Kaitangata,-46.2817,169.8464,49.15,84,99,4.07
99,Maragogi,-9.0122,-35.2225,74.19,92,100,4.38
100,Havre-St-Pierre,50.2334,-63.5986,44.6,53,1,18.41
101,Cairo,30.0626,31.2497,82.2,26,0,13.8
102,Morros,-9.4467,-46.3003,88.29,45,96,5.77
103,Ilulissat,69.2167,-51.1,14.0,62,75,8.05
104,Zliten,32.4674,14.5687,68.32,51,100,21.77
105,Puerto Carreño,6.189,-67.4859,86.85,58,91,1.66
106,Pacific Grove,36.6177,-121.9166,50.72,76,75,4.61
107,Visby,57.6409,18.296,43.66,56,0,18.41
108,Pisco,-13.7,-76.2167,68.43,83,20,8.05
109,Saint Charles,38.7667,-90.7335,49.93,61,20,9.22
110,Turukhansk,65.8167,87.9833,24.71,88,95,17.29
111,Buala,-8.145,159.5921,79.56,80,31,1.54
112,Marawi,7.9986,124.2928,78.01,89,84,0.51
113,Rio de Janeiro,-22.9028,-43.2075,81.3,57,40,3.44
114,Manicoré,-5.8092,-61.3003,91.62,53,100,1.19
115,Tuktoyaktuk,69.4541,-133.0374,21.2,100,90,6.91
116,Castro,-24.7911,-50.0119,70.7,58,52,5.91
117,Ponta do Sol,32.6667,-17.1,65.97,64,40,11.5
118,Inverness,57.4791,-4.224,55.8,47,0,9.22
119,Fort Nelson,58.8053,-122.7002,35.6,69,40,3.44
120,Wukari,7.85,9.7833,93.07,38,89,1.63
121,Fare,-16.7,-151.0167,82.2,73,100,10.74
122,Thompson,55.7435,-97.8558,32.0,43,75,4.61
123,Kavieng,-2.5744,150.7967,81.63,76,85,6.17
124,Ostrovnoy,68.0531,39.5131,27.99,89,99,5.39
125,Lompoc,34.6391,-120.4579,46.13,100,12,3.44
126,Adrar,20.5022,-10.0711,94.23,12,5,9.78
127,Atuona,-9.8,-139.0333,80.31,70,51,20.45
128,Avarua,-21.2078,-159.775,73.4,94,40,2.3
129,Maceió,-9.6658,-35.7353,78.8,83,75,3.44
130,Machico,32.7,-16.7667,67.06,64,40,11.5
131,Palmer,42.1584,-72.3287,47.7,93,90,4.61
132,Tutóia,-2.7619,-42.2744,89.6,62,20,10.36
133,Raudeberg,61.9875,5.1352,48.13,61,20,11.5
134,Leningradskiy,69.3833,178.4167,9.14,81,65,8.86
135,Bilma,18.6853,12.9164,101.82,4,16,9.84
136,High Level,58.5169,-117.136,37.4,56,40,8.05
137,Mount Gambier,-37.8333,140.7667,46.4,87,40,4.61
138,Dingle,10.9995,122.6711,77.04,87,100,4.32
139,Buckeye,33.3703,-112.5838,67.48,25,100,6.71
140,Port Lincoln,-34.7333,135.8667,59.32,79,26,6.8
141,Shimoda,34.6667,138.95,50.59,45,100,3.0
142,Hithadhoo,-0.6,73.0833,82.81,69,9,2.33
143,Emiliano Zapata,18.8333,-99.1833,80.6,28,75,4.09
144,Itaituba,-4.2761,-55.9836,89.6,66,40,1.68
145,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,42.24,27,2,18.1
146,Hong Kong,22.2855,114.1577,71.74,91,98,10.71
147,Birin,26.8865,88.0718,67.14,24,89,5.93
